country,city,gender,ethnicity,animal_type
China,Jiangshan,Male,Nicaraguan,elephant
China,Longhua,Female,Bangladeshi,dog
China,Lianhua,Female,Latin American Indian,dog
Brazil,Lucas,Female,White,dog
China,Jiakexi,Female,Latin American Indian,horse
United States,Trenton,Female,Yaqui,rabbit
China,Sanzao,Female,Japanese,rabbit
China,Longkou,Female,Apache,rabbit
China,Zhetian,Male,Native Hawaiian,horse
China,Erling,Male,Uruguayan,dog
China,Wangzha,Male,Seminole,elephant
China,Yanzhao,Male,Paiute,cat
United States,Young America,Female,Navajo,rabbit
China,Huangjinjing,Female,Kiowa,elephant
United States,Washington,Male,Argentinian,horse
China,Panxi,Male,Yaqui,dog
China,Quanzhou,Male,Salvadoran,dog
China,Baokou,Male,Malaysian,dog
China,Huangxi,Female,Malaysian,dog
United States,El Paso,Female,Vietnamese,dog
China,Tuoshi,Female,Native Hawaiian,elephant
China,Shimen,Female,Taiwanese,rabbit
China,Hekou,Female,Kiowa,cat
Brazil,Rio Branco do Sul,Female,Central American,elephant
United States,Columbia,Female,Latin American Indian,horse
China,Boyu,Female,Chippewa,rabbit
China,Baoxia,Female,Dominican (Dominican Republic),dog
Brazil,Iporá,Male,American Indian and Alaska Native (AIAN),cat
China,Liutangting,Male,Seminole,cat
China,Jiangchuanlu,Male,Asian,dog
China,Gaokan,Female,Chamorro,dog
China,Chengji,Female,Ottawa,rabbit
China,Xagmakajor,Female,Seminole,cat
Brazil,Nazaré da Mata,Male,Japanese,horse
United States,Sparks,Female,Fijian,rabbit
China,Yuezhao,Female,Colombian,cat
China,Zhuji,Male,Cuban,rabbit
China,Tianyi,Female,Iroquois,horse
China,Wanglian,Female,Cuban,elephant
United States,Sunnyvale,Male,Cheyenne,rabbit
China,Weitang,Male,Colville,cat
Brazil,Laranjal Paulista,Male,Paiute,dog
China,Luoshui,Female,Hmong,rabbit
United States,Roanoke,Female,Yaqui,cat
China,Baishan,Female,Cheyenne,dog
China,Shijiazhai,Female,Native Hawaiian,rabbit
China,Kokagax,Female,American Indian,cat
China,Xiacaoqiao,Female,Melanesian,cat
United States,Louisville,Male,Tohono O'Odham,horse
United States,Corpus Christi,Female,Polynesian,cat
China,Yujin,Female,Chippewa,elephant
China,Jiamiao,Female,Cherokee,elephant
China,Qiandian,Male,Micronesian,horse
China,Yuhuang,Male,Alaska Native,elephant
China,Xiancun,Male,Polynesian,dog
China,Xigou,Female,Yakama,horse
Canada,Carleton-sur-Mer,Male,Native Hawaiian,rabbit
Brazil,Ribeirão da Ilha,Male,Tongan,cat
Brazil,Macatuba,Male,Taiwanese,horse
Brazil,Anápolis,Female,Comanche,dog
China,Urho,Female,Argentinian,horse
China,Honghe,Female,Paiute,dog
United States,Chicago,Male,Yuman,elephant
China,Yingtou,Male,Aleut,horse
China,Banqiao,Male,Colville,dog
China,Fuji,Female,Panamanian,dog
Brazil,Iracemápolis,Male,Samoan,horse
China,Shaxi,Female,Honduran,elephant
Brazil,Bauru,Male,Filipino,elephant
China,Xinghua,Female,Navajo,elephant
China,Huoli,Male,Puget Sound Salish,dog
Brazil,Quixeramobim,Male,Comanche,horse
Brazil,Três Passos,Female,Yaqui,horse
China,Longfeng,Male,Sri Lankan,dog
United States,San Francisco,Female,Creek,cat
China,Aoqiao,Male,Japanese,dog
Brazil,Itajuípe,Male,Iroquois,dog
China,Gaotang,Male,Paraguayan,dog
China,Jiangtian,Female,Thai,rabbit
China,Nanjiao,Female,Laotian,cat
China,Yangchengzhuang,Female,Asian Indian,cat
Canada,Napierville,Male,Fijian,horse
Brazil,Pirapora,Male,Cree,rabbit
United States,Fullerton,Male,Delaware,cat
China,Donghai,Female,Cambodian,dog
China,Gantang,Male,American Indian and Alaska Native (AIAN),cat
United States,Toledo,Male,Blackfeet,horse
China,Longping,Male,Latin American Indian,rabbit
China,Bizhou,Male,Aleut,rabbit
China,Zhangping,Male,Micronesian,horse
China,Hezheng Chengguanzhen,Male,Ottawa,dog
Brazil,Currais Novos,Female,Native Hawaiian,rabbit
China,Qinglian,Male,Vietnamese,cat
China,Lishu,Female,Spaniard,cat
China,Qianyou,Female,Iroquois,dog
China,Tanbu,Male,Potawatomi,rabbit
United States,Houston,Male,Alaskan Athabascan,cat
China,Qianhong,Male,Yaqui,cat
Brazil,Nova Petrópolis,Male,Tohono O'Odham,rabbit
China,Zhongnan,Female,Cambodian,cat
China,Wangchang,Male,Salvadoran,rabbit
China,Huangzhan,Male,Chilean,dog
United States,Reno,Male,Apache,rabbit
China,Fengtang,Male,Seminole,dog
China,Chengtang,Male,Creek,horse
China,Zhenwen,Female,Puget Sound Salish,rabbit
China,Zhangting,Female,Ecuadorian,elephant
Canada,Vaughan,Male,Paiute,cat
China,Sancha,Male,Pima,rabbit
United States,Daytona Beach,Male,Tohono O'Odham,cat
China,Guitang,Female,Houma,horse
Brazil,Betim,Male,Black or African American,dog
China,Mingyihe,Female,Cheyenne,rabbit
China,Bayan Huxu,Male,Samoan,horse
Canada,Antigonish,Male,South American,cat
China,Renhe,Male,Puerto Rican,cat
Brazil,Santa Rosa,Male,Central American,rabbit
United States,Pensacola,Female,Venezuelan,dog
China,Dongjian,Female,Latin American Indian,rabbit
China,Shijia,Female,Choctaw,horse
China,Nanhu,Male,Argentinian,dog
China,Songlong,Male,Panamanian,elephant
China,Shibajiazi,Male,Puget Sound Salish,rabbit
China,Zuocun,Male,Cheyenne,horse
China,Jiupu,Male,Chilean,elephant
China,Baishan,Male,White,dog
Brazil,Paracatu,Female,South American,horse
United States,New York City,Female,Native Hawaiian,horse
China,Mazhu,Female,Eskimo,elephant
Brazil,Castro,Male,South American,elephant
China,Nanjie,Female,Potawatomi,horse
China,Gelin,Female,Seminole,horse
Brazil,Vargem Grande do Sul,Female,Ottawa,cat
United States,Phoenix,Male,Chinese,dog
United States,Long Beach,Female,Argentinian,elephant
China,Yantan,Female,Creek,dog
Brazil,Indaial,Male,Delaware,horse
China,Jinsha,Male,Peruvian,horse
China,Dongdong,Male,Ottawa,cat
China,Danan,Female,Polynesian,cat
China,Taiyuan,Female,Peruvian,elephant
China,Yishui,Female,Uruguayan,rabbit
China,Suzhou,Female,Latin American Indian,horse
China,Meicheng,Female,Alaska Native,rabbit
China,Lesuhe,Male,Tongan,dog
China,Shengrenjian,Female,Alaskan Athabascan,cat
China,Yushan,Male,Delaware,elephant
Brazil,Flores da Cunha,Female,Uruguayan,rabbit
China,Yanling,Male,Shoshone,cat
China,Tianzhou,Female,South American,rabbit
Brazil,Jataí,Male,Kiowa,cat
Brazil,Gravataí,Female,Chinese,dog
China,Honghai,Male,Fijian,cat
China,Moba,Male,Crow,rabbit
China,Bieqiao,Female,Thai,horse
Brazil,Macapá,Male,Tohono O'Odham,elephant
China,Henglu,Female,Thai,cat
China,Dongsheng,Female,Nicaraguan,cat
Brazil,Cabo Frio,Male,Native Hawaiian,cat
China,Panzhuang,Female,Guamanian,dog
China,Fushan,Female,Paiute,dog
Brazil,Franca,Female,Spaniard,cat
China,Yinghua,Female,Creek,dog
China,Delingha,Female,Taiwanese,dog
Canada,Oxbow,Male,Sri Lankan,rabbit
China,Tieshan,Male,Chickasaw,cat
China,Baoquan,Female,Aleut,horse
China,Changning,Male,Lumbee,horse
China,Bayan Huxu,Female,Apache,dog
China,Quma,Female,Ottawa,horse
China,Tianzhen,Female,Blackfeet,dog
China,Guankou,Female,Chamorro,elephant
United States,Los Angeles,Male,Pueblo,elephant
China,Sikeshu,Male,Cuban,elephant
China,Dangmu,Male,Japanese,cat
United States,Grand Rapids,Female,Malaysian,rabbit
China,Pingdong,Male,Native Hawaiian,elephant
United States,Washington,Male,Bolivian,elephant
China,Ganping,Male,Native Hawaiian,horse
China,Nanzhang Chengguanzhen,Female,Guatemalan,cat
China,Gezan,Male,Ottawa,dog
China,Tangchi,Female,Dominican (Dominican Republic),dog
China,Zhongzi,Male,Guatemalan,dog
Brazil,Barra Bonita,Male,Pima,cat
Brazil,Catolé do Rocha,Female,Dominican (Dominican Republic),horse
Brazil,Rio Claro,Female,Panamanian,dog
United States,Pueblo,Male,Navajo,cat
Brazil,Águas Vermelhas,Female,Samoan,elephant
China,Kangping,Female,Indonesian,horse
China,Si’erbao,Female,Pima,horse
China,Chaoshui,Female,Chamorro,horse
China,Huaicheng,Female,Kiowa,dog
China,Sanxi,Female,Laotian,horse
China,Guanzhuang,Female,Cuban,horse
China,Beishan,Male,Sioux,horse
China,Shuicha,Male,Dominican (Dominican Republic),elephant
China,Cola,Male,Salvadoran,elephant
United States,Greensboro,Male,Cuban,horse
China,Sanjiang,Female,Chilean,cat
China,Longwei,Male,Creek,dog
China,Zhongxin,Female,Cuban,rabbit
China,Qili,Male,Yuman,rabbit
China,Yuyue,Female,Puerto Rican,rabbit
United States,Jamaica,Male,Ottawa,horse
China,Fushan,Male,Latin American Indian,elephant
China,Wanmu,Male,Nicaraguan,rabbit
China,Gucheng,Female,Asian Indian,dog
Brazil,Santaluz,Male,Honduran,cat
China,Lianfa,Female,Bangladeshi,dog
China,Shangsha,Female,Cheyenne,horse
China,Suileng,Male,Filipino,horse
China,Nanchangshan,Male,Cree,cat
China,Lianhua,Female,American Indian and Alaska Native (AIAN),horse
China,Maoyang,Female,Pueblo,horse
China,Dadamtu,Male,Hmong,rabbit
United States,Milwaukee,Female,Sioux,elephant
China,Gaogu,Male,Pueblo,dog
Brazil,Itapevi,Female,Uruguayan,dog
China,Jinsheng,Male,Central American,horse
China,Shuangkou,Male,Tohono O'Odham,rabbit
China,Huaqiao,Female,Eskimo,dog
China,Jingcheng,Male,Ottawa,dog
Brazil,Paripiranga,Female,Native Hawaiian and Other Pacific Islander (NHPI),cat
China,Pengchang,Male,Pueblo,horse
China,Anxi,Female,South American,horse
Canada,Mississauga,Male,Menominee,dog
China,Shaxi,Male,Filipino,cat
Canada,Baie-Comeau,Female,Ecuadorian,dog
China,Guandian,Male,Comanche,elephant
China,Zhangjiayuan,Male,Bangladeshi,horse
Canada,Hanover,Male,Cambodian,elephant
China,Wangcao,Female,Chamorro,rabbit
United States,Austin,Male,Vietnamese,horse
China,Changshu City,Female,Comanche,elephant
China,Yejia,Female,Alaska Native,horse
China,Liuheng,Female,Filipino,horse
China,Jiaocheng,Male,Filipino,elephant
China,Bao’an,Female,Asian,dog
China,Mi’ersi,Male,Central American,cat
China,Shaxi,Female,White,cat
Brazil,Itororó,Male,Eskimo,dog
China,Tangnanzhen,Male,Fijian,elephant
China,Bazi,Male,Pueblo,horse
China,Chenfang,Female,Menominee,elephant
China,Chengjiao Chengguanzhen,Female,Venezuelan,elephant
China,Datian,Female,Ottawa,dog
China,Huiqi,Male,Filipino,dog
China,Dongji,Female,Dominican (Dominican Republic),horse
United States,Boston,Female,Houma,horse
China,Xingfu,Male,Apache,elephant
China,Jiaoqiao,Female,Chinese,dog
China,Jinjiang,Female,Eskimo,horse
China,Xuefeng,Female,Cheyenne,horse
China,Wufeng,Male,Malaysian,cat
Canada,Carleton Place,Female,Chickasaw,dog
China,Haitou,Male,Thai,dog
Brazil,Boa Esperança,Male,Crow,dog
China,Jiangbu,Male,Osage,dog
Brazil,Piúma,Female,Spaniard,horse
China,Zhuanqukou,Female,Polynesian,cat
China,Gongji,Female,Taiwanese,cat
China,Shihua,Male,Pakistani,cat
China,Ziyuan,Female,Tlingit-Haida,dog
China,Dongzhaogezhuang,Male,American Indian and Alaska Native (AIAN),rabbit
China,Wengyang,Female,Korean,cat
China,Kambaxoi,Male,Cherokee,rabbit
China,Nanyuan,Male,Colville,cat
United States,Washington,Male,Asian Indian,elephant
Brazil,Senhor do Bonfim,Male,Filipino,dog
China,Jinshanzui,Female,American Indian,cat
China,Yayao,Female,Central American,horse
China,Longqiao,Female,Puerto Rican,rabbit
China,Qigzhi,Male,Crow,dog
China,Yanwukou,Female,Seminole,elephant
China,Shuiyang,Female,Bolivian,cat
Brazil,Prudentópolis,Male,Pima,elephant
United States,Santa Monica,Female,Latin American Indian,elephant
China,Maojiagang,Female,Cherokee,horse
China,Sexiong,Female,Osage,dog
China,Jiamaying,Female,White,elephant
China,Buyun,Male,Hmong,cat
United States,Chicago,Female,South American,cat
China,Nansheng,Male,Chinese,elephant
United States,Hollywood,Male,Cambodian,cat
China,Taoyuan,Female,Hmong,dog
United States,Decatur,Female,Native Hawaiian,cat
China,Qingyun,Female,Costa Rican,elephant
China,Changshan,Male,Cree,elephant
China,Sunjia,Male,Korean,dog
China,Dongping,Female,Indonesian,rabbit
China,Erjia,Female,Japanese,elephant
China,Hushan,Female,Menominee,cat
China,Fanzhuang,Male,Cherokee,rabbit
China,Shuangjing,Female,American Indian,dog
China,Wanli,Male,Chamorro,horse
China,Qingyun,Male,Osage,rabbit
China,Gangnan,Male,Argentinian,horse
China,Qiangqinxue,Female,Honduran,rabbit
Brazil,Pôsto Fiscal Rolim de Moura,Female,Guamanian,dog
China,Huyang,Male,Mexican,rabbit
Brazil,Cruz Alta,Female,Puget Sound Salish,dog
China,Qimantage,Male,Sioux,horse
Canada,Irricana,Male,Asian,rabbit
China,Shaxi,Male,Micronesian,cat
China,Wangshi,Female,Uruguayan,elephant
China,Guli,Male,Chippewa,dog
China,Hengli,Female,Central American,dog
China,Dongling,Male,Alaska Native,elephant
Brazil,Uarini,Male,Cuban,horse
China,Hongwei,Male,Osage,cat
China,Zuhu,Female,Samoan,cat
China,Gaotieling,Female,Colombian,elephant
China,Fengshan,Male,Salvadoran,cat
China,Huarong,Female,Puget Sound Salish,elephant
China,Jiguan,Male,South American,elephant
China,Ping’an,Male,Sri Lankan,dog
Brazil,Crato,Female,Menominee,horse
China,Laba Goumen,Male,Native Hawaiian,elephant
United States,Los Angeles,Female,Navajo,cat
China,Anfeng,Male,Fijian,elephant
China,Niuzhuang,Female,Polynesian,cat
China,Machikou,Male,Central American,elephant
China,Wangdian,Male,Chippewa,horse
China,Yong’an,Female,Micronesian,horse
China,Dongjingcheng,Female,Native Hawaiian,elephant
China,Tiantai Chengguanzhen,Male,Argentinian,cat
China,Longxian Chengguanzhen,Female,Hmong,rabbit
China,Qixing,Male,Laotian,elephant
China,Wulong,Female,Colville,dog
China,Sanxi,Female,Guamanian,horse
China,Meicheng,Female,Comanche,horse
Brazil,Carmo do Paranaíba,Male,Tohono O'Odham,rabbit
China,Zaoxi,Female,Honduran,horse
China,Longmen,Female,Taiwanese,dog
Brazil,Itapemirim,Male,Nicaraguan,cat
China,Tuqiao,Female,Sioux,horse
China,Dongchong,Male,Yuman,rabbit
China,Xinhua,Female,Lumbee,dog
Canada,Belfast,Male,Pakistani,dog
China,Gaoqiao,Male,Laotian,rabbit
China,Shanghang,Female,Nicaraguan,cat
China,Gongjiahe,Female,Korean,elephant
Brazil,Arroio do Meio,Female,Blackfeet,rabbit
China,Shimen,Male,Houma,horse
China,Helixi,Female,American Indian and Alaska Native (AIAN),horse
China,Yuanguping,Female,Apache,rabbit
China,Zhoutou,Female,Chinese,horse
China,Hongyang,Female,Ecuadorian,rabbit
United States,Memphis,Female,Menominee,rabbit
Canada,Morden,Male,Houma,dog
China,Huaiya,Male,Yakama,horse
China,Geji,Female,Pueblo,elephant
Brazil,Januária,Female,Bangladeshi,elephant
China,Dongji,Male,Mexican,rabbit
China,Huabu,Female,Fijian,rabbit
Brazil,Itaí,Male,Colombian,horse
China,Liaodian,Male,Comanche,cat
United States,Evansville,Male,Houma,cat
China,Lengshuitan,Male,Thai,dog
China,Nanzhai,Female,Creek,cat
China,Shuikou,Female,American Indian and Alaska Native (AIAN),horse
China,Pengshi,Female,Bolivian,dog
China,Zhulan,Male,Crow,elephant
China,Weitang,Female,Sioux,horse
Brazil,Aimorés,Male,Eskimo,elephant
China,Fengxizhai,Female,Alaska Native,horse
Brazil,Canutama,Male,Spaniard,horse
China,Hutou,Female,Colville,rabbit
Canada,Pilot Butte,Female,Indonesian,horse
Canada,Port Hawkesbury,Male,Yakama,dog
China,Yantan,Female,Kiowa,rabbit
Brazil,Celso Ramos,Male,Malaysian,cat
China,Jinhui,Male,Indonesian,elephant
China,Bobai,Male,Indonesian,horse
United States,Oklahoma City,Female,Menominee,dog
Brazil,Rio Bonito,Female,Tongan,rabbit
Brazil,Cristalina,Male,Mexican,elephant
China,Yangchengzhuang,Male,Asian Indian,cat
China,Wanquan,Female,Salvadoran,dog
China,Taocheng,Female,Cuban,horse
China,Si’erbao,Male,Japanese,horse
United States,Fort Wayne,Male,Black or African American,rabbit
China,Cihua,Female,Chippewa,dog
Brazil,Barreiros,Male,Chickasaw,elephant
China,Yanmen,Female,Asian,elephant
China,Yebaishou,Male,Iroquois,rabbit
Brazil,Nova Cruz,Male,Yaqui,cat
China,Longwantun,Female,Nicaraguan,dog
China,Foshan,Female,Houma,cat
Canada,Dorval,Female,Central American,elephant
Brazil,Cascavel,Male,Cuban,elephant
United States,Cincinnati,Female,Cheyenne,elephant
United States,Decatur,Female,Paraguayan,horse
China,Longxi,Male,Houma,dog
China,Taosha,Male,Pueblo,rabbit
China,Dagang,Male,Crow,horse
China,Huaguo,Male,Pima,dog
United States,San Diego,Male,Puget Sound Salish,rabbit
China,Xiangdian,Male,Sioux,cat
China,Xiaozhang,Male,Chinese,rabbit
China,Tangjian,Male,Potawatomi,cat
China,Zangbawa,Female,South American,horse
China,Duancun,Male,Comanche,cat
China,Yuwan,Male,Cheyenne,cat
China,Jinhu,Male,Ecuadorian,cat
China,Angao,Female,Ottawa,elephant
Canada,Sussex,Female,Lumbee,dog
China,Shishan,Male,Venezuelan,cat
China,Jintang,Female,Chippewa,rabbit
China,Dashu,Female,Costa Rican,rabbit
China,Heting,Female,Potawatomi,dog
United States,Pensacola,Male,Puget Sound Salish,elephant
Brazil,Erechim,Female,Crow,horse
China,Mingshui,Male,Panamanian,dog
China,Fangxian,Male,Menominee,horse
China,Guicheng,Male,Native Hawaiian,cat
China,Hule,Male,Spaniard,elephant
China,Dawang,Male,Samoan,dog
United States,Carson City,Male,Guamanian,elephant
Brazil,Sirinhaém,Female,Fijian,horse
United States,Cheyenne,Female,Central American,horse
Brazil,Serrana,Female,Osage,dog
China,Xiangfu,Male,Pakistani,rabbit
China,Songbai,Male,Yaqui,cat
Canada,Port Colborne,Male,Salvadoran,horse
China,Caotang,Male,Pima,dog
China,Aoshi,Male,Asian,cat
China,Yong’an,Female,Black or African American,rabbit
China,Lantian,Female,Chickasaw,horse
China,Huarong,Male,Peruvian,cat
United States,Raleigh,Female,Taiwanese,dog
China,Pingshui,Male,Navajo,dog
China,Yuwang,Female,Bolivian,rabbit
China,Gaoping,Male,Cheyenne,dog
Brazil,Catanduva,Female,South American,rabbit
China,Zhumadian,Male,Black or African American,cat
China,Bailu,Female,Black or African American,dog
Canada,Carleton-sur-Mer,Female,Navajo,elephant
China,Sicheng,Male,South American,elephant
China,Hongkou,Male,Pueblo,elephant
Canada,Agassiz,Female,Korean,horse
China,Jiaomingsi,Female,Honduran,rabbit
China,Jianmin,Female,Paraguayan,cat
China,Mayanhe,Female,Polynesian,rabbit
China,Zhangting,Male,Tohono O'Odham,cat
China,Huquan,Male,Aleut,horse
China,Changlu,Male,Chippewa,horse
China,Fanrong,Female,Native Hawaiian and Other Pacific Islander (NHPI),rabbit
China,Leping,Female,Ute,elephant
China,HanHuang,Female,Polynesian,elephant
China,Geyuan,Male,Chilean,dog
China,Baisha,Female,Houma,dog
China,Shuishaping,Male,Eskimo,rabbit
China,Jiyang,Female,Iroquois,elephant
China,Shangdundu,Male,Alaskan Athabascan,dog
Brazil,Tucumã,Female,Lumbee,horse
China,Chengxi,Male,Yaqui,horse
China,Luoshanchuan,Male,Tohono O'Odham,elephant
Brazil,Rio das Ostras,Female,American Indian,dog
China,Tonglin,Male,Chickasaw,rabbit
China,Yuxi,Female,Apache,cat
China,Xixiang,Female,Asian Indian,rabbit
Canada,Lacolle,Male,Korean,dog
China,Xiangying,Female,Yakama,horse
China,Gengqing,Male,Seminole,dog
China,Xubao,Male,Mexican,rabbit
China,Huazhou,Female,Pakistani,horse
China,Jianfeng,Male,Blackfeet,elephant
China,Guixi,Female,Paiute,elephant
China,Tianmuhu,Male,Argentinian,elephant
China,Wufeng,Female,Micronesian,rabbit
Brazil,Alegre,Male,Polynesian,horse
Brazil,Armação,Female,American Indian,rabbit
China,Chengnan,Male,Tlingit-Haida,cat
China,Baishan,Male,Pueblo,horse
United States,Port Washington,Male,Seminole,horse
United States,Omaha,Female,Fijian,cat
Brazil,Guaiúba,Female,Comanche,dog
China,Changxi,Female,Colombian,dog
China,Xi’an,Female,Delaware,horse
China,Xiaoduchuan,Male,Cambodian,elephant
China,Baiba,Male,Laotian,rabbit
China,Heping,Male,Ecuadorian,horse
Canada,Kerrobert,Male,Taiwanese,dog
China,Tangwu,Female,American Indian and Alaska Native (AIAN),rabbit
China,Yangjiao,Female,Alaskan Athabascan,horse
China,Mulong,Female,Menominee,elephant
China,Xinquan,Female,Peruvian,dog
United States,Annapolis,Female,Mexican,dog
China,Sanxi,Male,Thai,dog
Brazil,Ribeira do Pombal,Male,Peruvian,rabbit
China,Qinghu,Male,Mexican,dog
China,Xiangshui,Male,Tongan,rabbit
China,Wang’er,Female,Japanese,elephant
China,Leiguan,Female,Latin American Indian,rabbit
China,Xiaofayi,Female,Black or African American,elephant
Brazil,Arroio do Meio,Male,Ute,horse
China,Pingba,Female,Paraguayan,dog
China,Dongting,Female,Yakama,horse
China,Mengxi,Female,Cheyenne,cat
China,Minle,Male,Costa Rican,horse
United States,Miami Beach,Female,Puerto Rican,horse
China,Ketang,Female,Filipino,dog
Canada,Grande Prairie,Female,Central American,rabbit
Canada,Mattawa,Female,Seminole,elephant
China,Liujiachang,Female,Kiowa,cat
China,Yujia,Female,Chinese,rabbit
Brazil,Marechal Deodoro,Female,Bolivian,rabbit
United States,Pensacola,Female,Paiute,cat
China,Taihua,Male,Native Hawaiian,rabbit
China,Shiyuetian,Male,Cheyenne,horse
Canada,Macamic,Male,Potawatomi,rabbit
China,Nanping,Male,Paraguayan,elephant
Brazil,Cruz Alta,Female,Malaysian,rabbit
China,Dehui,Female,Paraguayan,rabbit
United States,Saint Louis,Male,Vietnamese,elephant
China,Xiaowuzhan,Male,Cree,rabbit
China,Baiguo,Female,Colville,dog
China,Shibajiazi,Male,American Indian and Alaska Native (AIAN),cat
China,Zhuyeping,Female,American Indian and Alaska Native (AIAN),horse
China,Hengshan,Male,Puget Sound Salish,rabbit
Brazil,Lagarto,Female,Vietnamese,dog
China,Shifan,Female,Ute,horse
China,Tiannan,Male,Native Hawaiian and Other Pacific Islander (NHPI),cat
Brazil,Itaboraí,Male,Ute,cat
Brazil,Sete Lagoas,Female,Tlingit-Haida,elephant
China,Lianghe,Female,Ottawa,rabbit
China,Xilai,Female,Taiwanese,horse
Brazil,Arroio do Meio,Male,Salvadoran,cat
China,Xitou,Male,Potawatomi,elephant
Brazil,Birigui,Female,White,cat
Brazil,Sena Madureira,Male,Kiowa,cat
United States,Wilmington,Male,Sioux,cat
China,Dayou,Female,Tohono O'Odham,dog
China,Jinping,Male,Yaqui,cat
Brazil,Capinzal,Female,Shoshone,horse
China,Baitian,Male,Chilean,elephant
United States,Alexandria,Female,Paraguayan,elephant
China,Xianghu,Male,Menominee,horse
China,Longzhouwan,Male,Native Hawaiian,elephant
China,Zhangcaizhuang,Female,Ute,dog
China,Changqi,Female,Delaware,rabbit
China,Tangxing,Male,Chickasaw,elephant
China,Changsha,Male,Native Hawaiian and Other Pacific Islander (NHPI),cat
China,Maji,Female,Chilean,elephant
China,Pendiqing,Female,Panamanian,rabbit
China,Zhanghua,Female,Aleut,horse
United States,Milwaukee,Male,Salvadoran,elephant
Brazil,Jaciara,Male,Comanche,elephant
China,Songkeng,Female,Eskimo,rabbit
Brazil,Timbaúba,Female,Salvadoran,dog
Canada,Spirit River,Male,Costa Rican,rabbit
United States,Jacksonville,Male,Venezuelan,horse
China,Shitun,Male,Tlingit-Haida,cat
China,Fuzhuang,Male,Paraguayan,dog
China,Juren,Male,Taiwanese,horse
China,Zhaxirabdain,Female,Pakistani,cat
China,Tangchi,Female,Argentinian,rabbit
China,Tuanshansi,Male,Cambodian,cat
China,Xindong,Female,Costa Rican,rabbit
China,Jiujie,Female,Aleut,cat
United States,Cleveland,Female,Sri Lankan,rabbit
China,Caicun,Female,South American,rabbit
China,Changjiang,Female,Filipino,cat
China,Jianjun,Male,Mexican,cat
United States,Houston,Female,Colville,elephant
China,Qinghu,Male,Crow,rabbit
China,Gar,Male,Costa Rican,dog
China,Wuyang,Female,Argentinian,dog
China,Zhongdeng,Male,Cree,rabbit
Brazil,Belém,Female,Navajo,dog
China,Beiqijia,Male,Colombian,cat
China,Yanxi,Male,Yakama,cat
China,Zhexiao,Male,Kiowa,elephant
China,Liushui,Female,Asian,horse
Brazil,Ibirataia,Male,Alaskan Athabascan,dog
China,Wutongkou,Female,Ottawa,dog
China,Nanling,Male,Tohono O'Odham,rabbit
China,Qiganjidie,Male,Melanesian,horse
China,Daqiao,Female,Alaskan Athabascan,elephant
China,Quanzhou,Male,Spaniard,elephant
China,Lhakangtang,Male,Comanche,elephant
China,Yantongtun,Female,Kiowa,cat
China,Chezhan,Male,Blackfeet,rabbit
China,Qianjin,Female,Ottawa,cat
China,Nanning,Male,Sioux,cat
China,Longping,Male,Potawatomi,dog
China,Jianrao,Female,Spaniard,dog
China,Dongmazar,Male,Mexican,cat
Brazil,Rio Branco,Male,Pueblo,dog
China,Songjiang,Female,Cree,rabbit
Brazil,Codó,Female,Osage,rabbit
China,Madang,Male,Thai,cat
China,Magutian,Male,Japanese,rabbit
China,Leshan,Male,Blackfeet,dog
Brazil,São Jerônimo,Male,Hmong,horse
China,Dongpu,Male,Paraguayan,rabbit
China,Enhe Hada,Female,Spaniard,rabbit
Brazil,Itapuí,Male,American Indian,dog
China,Dasha,Female,Fijian,cat
China,Changchuan,Male,Chamorro,horse
China,Bailu,Female,Cambodian,cat
China,Damiao,Male,Black or African American,elephant
Brazil,Rio Real,Male,Ute,horse
China,Chadi,Female,Puerto Rican,horse
China,Heihe,Male,Samoan,horse
China,Rucheng Chengguanzhen,Male,Thai,rabbit
China,Tianyu,Female,White,dog
China,Xichehe,Male,Pueblo,elephant
China,Xiaoshi,Female,Indonesian,rabbit
Brazil,Aracruz,Female,Cuban,cat
China,Tongzi,Female,Comanche,dog
China,Quma,Male,Dominican (Dominican Republic),horse
China,Pandi,Male,Asian Indian,horse
China,Shuibatang,Male,Nicaraguan,horse
China,Pingsha,Male,Uruguayan,rabbit
Brazil,Presidente Dutra,Male,Mexican,elephant
China,Jinshanzui,Female,Alaskan Athabascan,cat
China,Yanjiang,Male,Alaska Native,rabbit
United States,Louisville,Female,Eskimo,cat
Brazil,Sananduva,Female,Japanese,dog
China,Shangyang,Female,Vietnamese,dog
China,Lubu,Female,Malaysian,horse
China,Gaoling,Female,Yakama,elephant
United States,Raleigh,Female,Lumbee,rabbit
China,Taocheng,Male,Paraguayan,dog
China,Luojiang,Male,Chippewa,cat
China,Wengang,Male,Chippewa,cat
China,Wuma,Female,Bolivian,elephant
China,Qingshan,Female,Cree,horse
China,Liuji,Male,Alaskan Athabascan,dog
China,Nantuo,Female,Bangladeshi,rabbit
China,Zhaobaoshan,Female,Houma,elephant
China,Yangyong,Male,Cuban,dog
China,Chengjiao,Female,Tlingit-Haida,cat
China,Guozhen,Female,Pima,elephant
China,Jiangpu,Female,Colville,cat
China,Miaogou,Male,Kiowa,elephant
China,Zhengji,Female,Chamorro,elephant
China,Hongguang,Male,Native Hawaiian,horse
Brazil,Penedo,Male,Cree,horse
China,Beixiaoying,Female,Navajo,horse
China,Mazhonghe,Female,Cuban,cat
China,Beisijia,Male,Paraguayan,horse
China,Xuedian,Male,Menominee,horse
